composition,trial,time,biomass (g/L),ethanol (mM),acetate (mM),butanol (mM),butyrate (mM),N2,CO,CO2,H2,flow rate (mL/min),biomass rate,ethanol rate,acetate rate,butanol rate,butyrate rate
1.0,1.0,0.0,0.4295291101055829,15.87113695324292,16.893540271493304,0.029863348416289758,0.0701782805429868,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,-0.024889894419306557,-1.303834087481146,1.5061719457014178,-0.01575565610859732,-0.1266334841628966
1.0,1.0,0.10000000000000009,0.42105641025641244,15.583697435897516,17.988494117647157,0.02828687782805446,0.0561004524886881,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,-0.08472699849170484,-2.8743951734540296,10.94953846153853,-0.015764705882352972,-0.14077828054298705
1.0,1.0,0.20000000000000018,0.4108262443438936,15.121595475113201,19.816680542986532,0.02832488687782822,0.04626877828054327,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,-0.10230165912518852,-4.621019607843149,18.28186425339375,0.00038009049773760073,-0.09831674208144826
1.0,1.0,0.30000000000000004,0.40360180995475325,14.50053695324291,22.179671191553666,0.031348416289592944,0.045429864253393945,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,-0.07224434389140333,-6.2105852187029065,23.62990648567134,0.030235294117647235,-0.008389140271493276
1.0,1.0,0.40000000000000013,0.40368842921784315,13.935177978883935,25.274862098685762,0.02870265029088576,0.03184938590820972,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.0008661926308989321,-5.653589743589755,30.951909071320962,-0.026457659987071842,-0.13580478345184227
1.0,1.0,0.5,0.40624046541693826,13.302533936651654,28.98354234001308,0.030987718164188948,0.03761861667744055,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.02552036199095109,-6.326440422322808,37.08680241327318,0.022850678733031884,0.05769230769230832
1.0,1.0,0.6000000000000001,0.41087394957983414,12.629886877828122,32.87528442146107,0.04347188106011664,0.07551454427925075,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.046334841628958845,-6.726470588235323,38.91742081447987,0.12484162895927689,0.378959276018102
1.0,1.0,0.7000000000000002,0.41672268907563254,12.043782805429927,36.718888170653074,0.07016936005171341,0.155912087912089,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.05848739495798394,-5.861040723981947,38.43603749192006,0.26697478991596774,0.8039754363283824
1.0,1.0,0.8,0.42417582417582644,11.479518422753777,40.30177569489355,0.11403813833225665,0.2879437621202344,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.07453135100193908,-5.6426438267615,35.82887524240476,0.43868778280543236,1.3203167420814543
1.0,1.0,0.9000000000000001,0.432877828054301,10.95904589528125,43.40894376212046,0.17669424692954208,0.47578539107951145,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.08702003878474529,-5.204725274725277,31.071680672269082,0.6265610859728543,1.8784162895927703
1.0,1.0,1.0,0.44193018745960155,10.460888817065342,45.869921784098494,0.23410924369748032,0.7006393018746,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.09052359405300581,-4.981570782159075,24.60978021978036,0.5741499676793823,2.248539107950885
1.0,1.0,1.1,0.4516224951519094,10.037632406808932,47.44646929541072,0.3155345830639965,1.0038323637147222,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.09692307692307833,-4.232564102564105,15.765475113122278,0.8142533936651619,3.031930618401222
1.0,1.0,1.2000000000000002,0.4615862960568867,9.677154277095505,47.91097155785417,0.4279191984486126,1.3686181857358402,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.09963800904977338,-3.604781297134263,4.645022624434461,1.1238461538461608,3.64785822021118
1.0,1.0,1.3000000000000003,0.47138849385908466,9.355239819004575,47.045846153846405,0.5750963154492599,1.7757595345830735,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.09802197802197932,-3.219144580909301,-8.651254040077632,1.4717711700064728,4.0714134884723325
1.0,1.0,1.4000000000000004,0.47914673561732646,9.376889894419357,46.214389140271734,0.7584757595345872,2.2042206421030066,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.07758241758241802,0.21650075414781256,-8.314570135746706,1.8337944408532736,4.284611075199331
1.0,1.0,1.5,0.48546787330317,9.79150105580699,46.06788054298667,0.9802769230769284,2.645041930618415,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.06321137685843525,4.146111613876329,-1.4650859728506305,2.2180116354234114,4.408212885154086
1.0,1.0,1.6,0.4913266968325818,10.358186425339422,45.81007601809979,1.2370751131221787,3.079514932126713,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.05858823529411805,5.666853695324328,-2.57804524886879,2.567981900452503,4.344730015082976
1.0,1.0,1.7000000000000002,0.4970541693600543,10.991965610859786,45.454025339366765,1.5229595345830722,3.4877654815772647,60.00000000000031,20.000000000000107,15.000000000000078,5.000000000000027,20.000000000000107,0.05727472527472521,6.3377918552036405,-3.5605067873302687,2.8588442146089355,4.0825054945055195
